day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
69,237.2215523363236,138.60919582318257,0.0,255.0,78.0,0.0,0.28658420414946906,0.061077335327670304,0.0
70,236.9442915272578,140.11518041438399,0.0,261.0,58.0,0.0,0.28690960817759825,0.06158297636613889,0.0
71,236.66552574806852,141.56663926044888,0.0,259.0,56.0,0.0,0.28723164391378997,0.06205466744862633,0.0
72,236.89440723783324,143.39125408310105,0.0,233.0,80.0,0.0,0.288169655830094,0.06248195154137588,0.0
73,236.61805123212696,145.64796373828702,0.0,276.0,82.0,0.0,0.28849294411856513,0.06329034481403079,0.0
74,236.67847641930743,146.70444959491107,0.0,279.0,56.0,0.0,0.28922624959872656,0.06351414337595271,0.0
75,236.40233326758266,148.85344765063883,0.0,261.0,70.0,0.0,0.2895476636961274,0.06433527760555154,0.0
76,236.1414964381436,150.95094598732902,0.0,265.0,66.0,0.0,0.28988633218179255,0.06508230847109697,0.0
77,235.86232170689857,153.04501624043905,0.0,247.0,54.0,0.0,0.29020098774224184,0.06592974688999446,0.0
78,235.5828549664481,154.5096389005318,0.0,268.0,66.0,0.0,0.29051373069142944,0.06614097624416759,0.0
79,235.33800729451968,156.118602805716,0.0,255.0,62.0,0.0,0.2908677071730621,0.06671177049146762,0.0
80,235.05670328355345,156.99175758479686,0.0,257.0,47.0,0.0,0.2911751623789712,0.06684522091917018,0.0
81,234.82132392435074,158.1932002534329,0.0,222.0,55.0,0.0,0.2915380700647213,0.0670839224711517,0.0
82,234.54186607965568,160.1609904829436,0.0,237.0,59.0,0.0,0.291844821632656,0.06788544616503557,0.0
83,234.2584204396344,162.57202178526592,0.0,263.0,62.0,0.0,0.29214504584164935,0.06896869767765648,0.0
84,233.9771710012909,164.02798587428157,0.0,272.0,67.0,0.0,0.2924464386692439,0.06941225507034901,0.0
85,233.71404760905762,165.75789521681037,0.0,237.0,70.0,0.0,0.29276897346775643,0.07009065747122477,0.0
86,233.9176326519582,166.76755738005716,0.0,254.0,54.0,0.0,0.29367598239302517,0.07033783675321367,0.0
87,233.72454939273928,168.34336406980486,0.0,261.0,68.0,0.0,0.2940850200597094,0.07085997691892139,0.0
88,233.54716024128498,170.23364616220536,0.0,271.0,62.0,0.0,0.2945127759388104,0.07165339147050974,0.0
89,233.77588020215978,171.33153201336174,0.0,239.0,70.0,0.0,0.29545279916155154,0.07171520794478861,0.0
90,233.445693289962,172.85383832726393,3.444159980626628,271.0,59.0,107.0,0.29568618032729455,0.07228828069239507,0.0017355633581276552
91,233.15023660955524,173.5014970099797,7.943714501780124,244.0,54.0,136.0,0.2959618111471092,0.07234131728425632,0.0040029556972578555
